DMXDB,November 28th 2014,122,2,,,,,,,,,,,,,,,,,
101,BROKEN MY HEART,NAOKI feat.PAULA TERRY,160,160,DATA/mov/brok.seq,4,206,7,281,0,0,6,210,6,291,0,0,1,0,0
102,PUT YOUR FAITH IN ME,UZI-LAY,120,120,DATA/mov/puty.seq,1,128,5,176,0,0,3,176,5,222,0,0,1,0,0
103,GORGEOUS 2012,THE SURRENDERS,135,135,DATA/mov/gorg.seq,6,235,7,222,0,0,6,227,7,387,0,0,1,0,0
104,Ain't It Good,Tomoki Hirata,134,134,DATA/mov/aint.seq,4,181,6,200,0,0,6,262,6,274,0,0,1,0,0
105,All Night |(Original Mix),Tomoki Hirata,134,134,DATA/mov/alln.seq,2,129,5,200,0,0,6,208,7,315,0,0,1,0,0
106,Body |(I.C.B. Club Vocal Mix),Tomoki Hirata,134,134,DATA/mov/body.seq,4,254,5,293,0,0,4,281,5,315,0,0,1,0,0
107,Dr.Love,Asuka M.,123,123,DATA/mov/drlo.seq,3,158,7,254,0,0,4,195,5,235,0,0,1,9,0
108,KEEP ON MOVIN' |(DMX MIX),N.M.R-typeG,131,131,DATA/mov/keep.seq,2,128,6,256,0,0,4,209,5,264,0,0,1,0,0
109,ALL MY LOVE,Tomosuke * SABRINA,132,132,DATA/mov/disc.seq,3,204,8,389,0,0,4,237,6,328,0,0,1,0,0
110,Heaven is a '57 metallic gray,Hiro feat.Sweet little 30's,95,190,DATA/mov/heav.seq,5,199,8,296,0,0,5,195,6,234,0,0,1,0,0
111,AFRONOVA PRIMEVAL,8 bit,200,200,DATA/mov/afro.seq,6,352,9,559,0,0,7,276,8,469,0,0,1,0,0
112,MEANING OF LIFE,K.Wit feat.GARY,112,112,DATA/mov/mean.seq,5,192,6,308,0,0,3,199,5,242,0,0,1,0,0
113,IN MY DREAMS,REBECCA,139,139,DATA/mov/inmy.seq,4,199,6,281,0,0,3,207,7,298,0,0,1,0,0
114,DYNAMITE RAVE |(B4 ZA BEAT MIX),NAOKI,170,170,DATA/mov/dyna.seq,6,264,8,428,0,0,7,297,8,427,0,0,1,0,0
115,LOCOMOTION,ALEXIA,134,134,DATA/mov/loco.seq,3,213,5,287,0,0,6,245,6,306,0,0,1,0,0
116,My Sharona,DJ MIKO,144,144,DATA/mov/mysh.seq,5,0,8,0,0,0,5,0,7,0,0,0,0,0,0
117,BUTTERFLY |(KCP FUNG-FU MIX),SMILE.dk,135,135,DATA/mov/butt.seq,4,199,7,300,0,0,4,213,7,305,0,0,1,0,0
118,LET'S GET DOWN |(MO-FUNK MIX),JT PLAYAZ,145,145,DATA/mov/lets.seq,5,239,7,290,0,0,5,203,6,302,0,0,1,0,0
119,IT'S A PARTY,BASTAMIKE & RASHAD,145,145,DATA/mov/itsa.seq,5,221,7,318,0,0,5,223,7,292,0,0,1,0,0
120,TOGETHER FOREVER,CYDNEY D,134,134,DATA/mov/toge.seq,3,178,5,231,0,0,5,228,7,241,0,0,1,0,0
121,jane jana,T.E.M.P.O. feat. Mohammad & Emi,125,125,DATA/mov/indi.seq,3,183,6,248,0,0,5,193,6,242,0,0,1,9,0
122,GET IT ALL,BRASS TRICKS,139,139,DATA/mov/horn.seq,6,255,8,308,0,0,6,254,7,294,0,0,1,0,0
123,BAILA! BAILA!,DANDY MINEIRO,129,129,DATA/mov/bail.seq,5,262,7,337,0,0,6,279,7,359,0,0,1,0,0
124,Mobo*Moga,Orange Lounge,172,172,DATA/mov/mobo.seq,4,201,6,247,0,0,6,223,6,245,0,0,1,0,0
125,MAD BLAST,THE INFECTION,180,180,DATA/mov/punk.seq,6,246,8,363,0,0,7,282,8,473,0,0,1,9,0
126,Non Stop Mix Special 1,Non Stop Mix Special,130,220,DATA/mov/boss.seq,6,286,8,455,0,0,6,321,8,419,0,0,1,1,0
127,Man and Woman,Cool,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
128,First Love,CLON,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
129,Dance With DOC,DJ DOC,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
130,Dash,Baek Ji Young ,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
131,Misery,Cool,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
132,Tears,So Chan Whee,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
133,Reckless Love,Sechs Kies,0,0,no,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
