@version 1

# the title screen is visible for 5 seconds
# the first second of which is the "BOOM" when the title slams in

#milliseconds, lamp group, add duration, [color], [option]

# simple spot pattern

#phase 2 spot lamp pattern
0,	13,	1000
0,	14,	1000
0,	15,	1000
1000,	13,	500
1000,	15,	500
1500,	14,	500
2000,	13,	500
2000,	15,	500
2500,	14,	500
3000,	13,	500
3000,	15,	500
3500,	14,	500
4000,	13,	500
4000,	15,	500
4500,	14,	500

#for the boom, go crazy!
0,	0,	750,	2
0,	1,	750,	2
0,	2,	750,	2
0,	3,	750,	2
0,	4,	100,	2
0,	5,	100,	2
0,	6,	100,	2
0,	7,	100,	2
0,	8,	100,	2
0,	9,	100,	2
0,	10,	100,	2
0,	11,	100,	2

100,	4,	100,	0
100,	7,	100,	0
100,	8,	100,	0
100,	11,	100,	0
100,	5,	100,	1
100,	6,	100,	1
100,	9,	100,	1
100,	10,	100,	1

200,	4,	100,	1
200,	7,	100,	1
200,	8,	100,	1
200,	11,	100,	1
200,	5,	100,	0
200,	6,	100,	0
200,	9,	100,	0
200,	10,	100,	0

300,	4,	100,	0
300,	7,	100,	0
300,	8,	100,	0
300,	11,	100,	0
300,	5,	100,	1
300,	6,	100,	1
300,	9,	100,	1
300,	10,	100,	1

400,	4,	100,	1
400,	7,	100,	1
400,	8,	100,	1
400,	11,	100,	1
400,	5,	100,	0
400,	6,	100,	0
400,	9,	100,	0
400,	10,	100,	0

500,	4,	100,	0
500,	7,	100,	0
500,	8,	100,	0
500,	11,	100,	0
500,	5,	100,	1
500,	6,	100,	1
500,	9,	100,	1
500,	10,	100,	1

600,	4,	100,	1
600,	7,	100,	1
600,	8,	100,	1
600,	11,	100,	1
600,	5,	100,	0
600,	6,	100,	0
600,	9,	100,	0
600,	10,	100,	0

700,	4,	100,	0
700,	7,	100,	0
700,	8,	100,	0
700,	11,	100,	0
700,	5,	100,	1
700,	6,	100,	1
700,	9,	100,	1
700,	10,	100,	1

800,	4,	100,	1
800,	7,	100,	1
800,	8,	100,	1
800,	11,	100,	1
800,	5,	100,	0
800,	6,	100,	0
800,	9,	100,	0
800,	10,	100,	0

# do waves
900,	4,	500, 	2
900,	5,	500, 	2
1100,	0,	500, 	2
1100,	6,	500, 	2
1100,	7,	500, 	2
1300,	1,	500, 	2
1300,	8,	500, 	2
1300,	9,	500, 	2
1500,	2,	500, 	2
1500,	10,	500, 	2
1500,	11,	500, 	2
1700,	3,	500, 	2

2500,	4,	500, 	0
2500,	5,	500, 	0
2700,	0,	500, 	0
2700,	6,	500, 	0
2700,	7,	500, 	0
2900,	1,	500, 	0
2900,	8,	500, 	0
2900,	9,	500, 	0
3100,	2,	500, 	0
3100,	10,	500, 	0
3100,	11,	500, 	0
3300,	3,	500, 	0

4200,	4,	500, 	1
4200,	5,	500, 	1
4400,	0,	500, 	1
4400,	6,	500, 	1
4400,	7,	500, 	1
4600,	1,	500, 	1
4600,	8,	500, 	1
4600,	9,	500, 	1
4800,	2,	500, 	1
4800,	10,	500, 	1
4800,	11,	500, 	1
5000,	3,	500, 	1
