@version 1
@loop

# simple hit chart blink pattern

# simple spot pattern
0,		13,	500
0,		15,	500
500,		14,	500

# alternate LEDs
0,		0,	500,	0
0,		2,	500,	0
0,		6,	500,	0
0,		7,	500,	0
0,		10,	500,	0
0,		11,	500,	0
0,		1,	500,	1
0,		3,	500,	1
0,		4,	500,	1
0,		5,	500,	1
0,		8,	500,	1
0,		9,	500,	1

500,		0,	500,	1
500,		2,	500,	1
500,		6,	500,	1
500,		7,	500,	1
500,		10,	500,	1
500,		11,	500,	1
500,		1,	500,	0
500,		3,	500,	0
500,		4,	500,	0
500,		5,	500,	0
500,		8,	500,	0
500,		9,	500,	0

1000,		0,	0,	0
